repositoryName,dependencies
google/android-uiconductor,"[com.android.tools.ddms:ddmlib,com.fasterxml.jackson.core:jackson-annotations,com.fasterxml.jackson.core:jackson-core,com.fasterxml.jackson.core:jackson-databind,com.fasterxml.jackson.datatype:jackson-datatype-jdk8,com.fasterxml.jackson.datatype:jackson-datatype-jsr310,com.fasterxml.jackson.module:jackson-module-parameter-names,com.google.auto.value:auto-value,com.google.cloud.sql:mysql-socket-factory,com.google.cloud:google-cloud-storage,com.google.guava:guava,com.google.guava:guava-jdk5,com.google.truth:truth,commons-cli:commons-cli,commons-io:commons-io,dom4j:dom4j,io.netty:netty-all,javax.persistence:persistence-api,javax.usb:usb-api,javax.websocket:javax.websocket-api,junit:junit,mysql:mysql-connector-java,net.lingala.zip4j:zip4j,org.apache.commons:commons-jexl3,org.apache.commons:commons-lang3,org.apache.httpcomponents:fluent-hc,org.bytedeco.javacpp-presets:opencv,org.eclipse.jetty.websocket:websocket-api,org.eclipse.jetty.websocket:websocket-server,org.eclipse.jetty.websocket:websocket-servlet,org.eclipse.jetty:jetty-http,org.eclipse.jetty:jetty-io,org.eclipse.jetty:jetty-server,org.eclipse.jetty:jetty-servlet,org.eclipse.jetty:jetty-util,org.mockito:mockito-all,org.slf4j:slf4j-api,org.slf4j:slf4j-jdk14,org.springframework.boot:spring-boot-starter-data-jpa,org.springframework.boot:spring-boot-starter-jdbc,org.springframework.boot:spring-boot-starter-web,org.springframework:core,org.usb4java:usb4java-javax]"
ahus1/prometheus-hystrix,"[com.netflix.hystrix:hystrix-core,io.prometheus:simpleclient,io.prometheus:simpleclient_common,junit:junit,org.apache.logging.log4j:log4j-core,org.apache.logging.log4j:log4j-slf4j-impl,org.assertj:assertj-core]"
vidageek/mirror,"[cglib:cglib-nodep,junit:junit,net.vidageek:mirror,org.javassist:javassist,org.objenesis:objenesis]"
gridgain/gridgain,"[aopalliance:aopalliance,c3p0:c3p0,ch.qos.logback:logback-classic,ch.qos.logback:logback-core,com.amazonaws:aws-encryption-sdk-java,com.amazonaws:aws-java-sdk-core,com.amazonaws:aws-java-sdk-ec2,com.amazonaws:aws-java-sdk-elasticloadbalancing,com.amazonaws:aws-java-sdk-elasticloadbalancingv2,com.amazonaws:aws-java-sdk-kms,com.amazonaws:aws-java-sdk-s3,com.beust:jcommander,com.codahale.metrics:metrics-core,com.datastax.cassandra:cassandra-driver-core,com.dropbox.core:dropbox-core-sdk,com.esotericsoftware.kryo:kryo,com.esotericsoftware:kryo,com.esotericsoftware:minlog,com.esotericsoftware:reflectasm,com.fasterxml.jackson.core:jackson-annotations,com.fasterxml.jackson.core:jackson-core,com.fasterxml.jackson.core:jackson-databind,com.fasterxml.jackson.dataformat:jackson-dataformat-cbor,com.github.fommil.netlib:core,com.github.jnr:jnr-posix,com.github.luben:zstd-jni,com.google.api-client:google-api-client,com.google.apis:google-api-services-storage,com.google.code.simple-spring-memcached:spymemcached,com.google.guava:guava,com.ibm.websphere.appserver.api:com.ibm.websphere.appserver.api.transaction,com.jcraft:jsch,com.puppycrawl.tools:checkstyle,com.sun.xml.bind:jaxb-core,com.sun.xml.bind:jaxb-impl,com.thoughtworks.xstream:xstream,com.zaxxer:SparseBitSet,commons-beanutils:commons-beanutils,commons-cli:commons-cli,commons-codec:commons-codec,commons-collections:commons-collections,commons-dbcp:commons-dbcp,commons-io:commons-io,commons-lang:commons-lang,commons-logging:commons-logging,info.picocli:picocli,io.grpc:grpc-context,io.netty:netty-all,io.opencensus:opencensus-api,io.opencensus:opencensus-exporter-stats-prometheus,io.opencensus:opencensus-exporter-trace-zipkin,io.opencensus:opencensus-impl,io.prometheus:simpleclient_httpserver,it.sauronsoftware.cron4j:cron4j,it.unimi.dsi:fastutil,javax.cache:cache-api,javax.resource:connector-api,javax.servlet:javax.servlet-api,javax.transaction:jta,javax.xml.bind:jaxb-api,jline:jline,joda-time:joda-time,junit:junit,log4j:log4j,ml.combust.mleap:mleap-runtime_2.11,mx4j:mx4j-tools,mysql:mysql-connector-java,net.java.dev.jna:jna,net.sf.jtidy:jtidy,org.antlr:antlr4-runtime,org.apache.ant:ant,org.apache.cassandra:cassandra-all,org.apache.commons:commons-compress,org.apache.commons:commons-lang3,org.apache.commons:commons-math3,org.apache.commons:commons-rng-core,org.apache.commons:commons-rng-simple,org.apache.curator:curator-client,org.apache.curator:curator-framework,org.apache.curator:curator-recipes,org.apache.curator:curator-test,org.apache.curator:curator-x-discovery,org.apache.hadoop:hadoop-common,org.apache.hadoop:hadoop-yarn-client,org.apache.httpcomponents:httpclient,org.apache.httpcomponents:httpcore,org.apache.ignite.binary:test1,org.apache.ignite.binary:test2,org.apache.ignite:ignite-core,org.apache.jclouds.common:googlecloud,org.apache.jclouds.provider:cloudsigma-zrh,org.apache.jclouds:jclouds-compute,org.apache.jclouds:jclouds-core,org.apache.logging.log4j:log4j-api,org.apache.logging.log4j:log4j-core,org.apache.logging.log4j:log4j-jcl,org.apache.logging.log4j:log4j-slf4j-impl,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser,org.apache.maven.surefire:maven-surefire-common,org.apache.mesos:mesos,org.apache.parquet:parquet-hadoop,org.apache.rat:apache-rat-core,org.apache.spark:spark-catalyst_2.11,org.apache.spark:spark-core_2.11,org.apache.spark:spark-network-common_2.11,org.apache.spark:spark-network-shuffle_2.11,org.apache.spark:spark-sql_2.11,org.apache.spark:spark-tags_2.11,org.apache.tomcat:catalina,org.apache.tomcat:tomcat-servlet-api,org.apache.zookeeper:zookeeper,org.aspectj:aspectjrt,org.aspectj:aspectjweaver,org.bouncycastle:bcprov-ext-jdk15on,org.eclipse.jetty:jetty-continuation,org.eclipse.jetty:jetty-http,org.eclipse.jetty:jetty-io,org.eclipse.jetty:jetty-server,org.eclipse.jetty:jetty-servlets,org.eclipse.jetty:jetty-util,org.eclipse.jetty:jetty-webapp,org.eclipse.jetty:jetty-xml,org.gridgain:ignite-appserver-test,org.gridgain:ignite-aws,org.gridgain:ignite-cassandra-store,org.gridgain:ignite-clients,org.gridgain:ignite-cloud,org.gridgain:ignite-compress,org.gridgain:ignite-core,org.gridgain:ignite-extdata-uri-dep,org.gridgain:ignite-geospatial,org.gridgain:ignite-h2,org.gridgain:ignite-hibernate-core,org.gridgain:ignite-hibernate_5.1,org.gridgain:ignite-indexing,org.gridgain:ignite-jta,org.gridgain:ignite-log4j,org.gridgain:ignite-log4j2,org.gridgain:ignite-ml,org.gridgain:ignite-ml-mleap-model-parser,org.gridgain:ignite-ml-spark-model-parser,org.gridgain:ignite-ml-tensorflow-model-parser,org.gridgain:ignite-ml-xgboost-model-parser,org.gridgain:ignite-rest-http,org.gridgain:ignite-schedule,org.gridgain:ignite-shmem,org.gridgain:ignite-slf4j,org.gridgain:ignite-spring,org.gridgain:ignite-spring-data-commons,org.gridgain:ignite-spring-data_2.0,org.gridgain:ignite-ssh,org.gridgain:ignite-tools,org.gridgain:ignite-urideploy,org.gridgain:ignite-web,org.gridgain:ignite-zookeeper,org.hamcrest:hamcrest,org.hamcrest:hamcrest-library,org.hibernate:hibernate-core,org.hsqldb:hsqldb,org.javassist:javassist,org.jboss.spec.javax.rmi:jboss-rmi-api_1.0_spec,org.jetbrains:annotations,org.jodd:jodd-lagarto,org.jpmml:pmml-model,org.json4s:json4s-core_2.11,org.locationtech.jts:jts-core,org.lz4:lz4-java,org.mock-server:mockserver-netty,org.mockito:mockito-core,org.objenesis:objenesis,org.openjdk.jmh:jmh-core,org.openjdk.jmh:jmh-generator-annprocess,org.openjdk.jol:jol-core,org.ow2.asm:asm,org.ow2.jotm:jotm-core,org.postgresql:postgresql,org.scala-lang:jline,org.scala-lang:scala-library,org.scala-lang:scala-reflect,org.scalatest:scalatest_2.10,org.scalatest:scalatest_2.11,org.slf4j:jcl-over-slf4j,org.slf4j:jul-to-slf4j,org.slf4j:slf4j-api,org.slf4j:slf4j-simple,org.springframework.data:spring-data-commons,org.springframework:spring-aop,org.springframework:spring-beans,org.springframework:spring-context,org.springframework:spring-core,org.springframework:spring-expression,org.springframework:spring-jdbc,org.springframework:spring-tx,org.tensorflow:proto,org.tensorflow:tensorflow,org.xerial.snappy:snappy-java,org.yardstickframework:yardstick,redis.clients:jedis,ro.fortsoft.pf4j:pf4j,sqlline:sqlline]"
Tristan971/EasyFXML,"[com.github.oshi:oshi-core,io.vavr:vavr,moe.tristan:easyfxml,moe.tristan:easyfxml-fxkit,moe.tristan:easyfxml-junit,moe.tristan:easyfxml-platform,moe.tristan:easyfxml-sample-form-user,moe.tristan:easyfxml-sample-hello-world,org.immutables:value,org.openjfx:javafx-base,org.openjfx:javafx-controls,org.openjfx:javafx-fxml,org.openjfx:javafx-graphics,org.testfx:openjfx-monocle,org.testfx:testfx-junit5]"
RestComm/jdiameter,"[commons-pool:commons-pool,io.netty:netty-all,junit:junit,org.jboss.cache:jbosscache-core,org.mobicents.diameter.testsuite:testsuite-load,org.mobicents.diameter:jdiameter-api,org.mobicents.diameter:jdiameter-ha-api,org.mobicents.diameter:jdiameter-ha-impl,org.mobicents.diameter:jdiameter-impl,org.mobicents.diameter:restcomm-diameter-mux-jar,org.mobicents.protocols.sctp:sctp-api,org.mobicents.protocols.sctp:sctp-impl,org.picocontainer:picocontainer,org.slf4j:slf4j-api,org.slf4j:slf4j-log4j12,org.wildfly.core:wildfly-controller,org.wildfly.core:wildfly-jmx,org.wildfly.core:wildfly-server,org.wildfly:wildfly-system-jmx,picocontainer:picocontainer,urbanophile:java-getopt,xml-apis:xml-apis]"
SonarSource/sonar-scanner-maven,"[antlr:antlr,com.google.code.findbugs:jsr305,com.googlecode.json-simple:json-simple,com.sonarsource.it.samples.jee:java-module,com.sonarsource.it.samples:module_a,commons-beanutils:commons-beanutils,commons-chain:commons-chain,commons-digester:commons-digester,commons-fileupload:commons-fileupload,commons-io:commons-io,commons-lang:commons-lang,commons-logging:commons-logging,commons-validator:commons-validator,javax.servlet:jsp-api,javax.servlet:servlet-api,junit:junit,org.apache.geronimo.specs:geronimo-ejb_2.1_spec,org.apache.maven.plugin-testing:maven-plugin-testing-harness,org.apache.maven.plugin-tools:maven-plugin-annotations,org.apache.maven:maven-artifact,org.apache.maven:maven-compat,org.apache.maven:maven-core,org.apache.maven:maven-model,org.apache.maven:maven-plugin-api,org.apache.struts:struts-core,org.assertj:assertj-core,org.codehaus.plexus:plexus-utils,org.eclipse.jetty:jetty-proxy,org.eclipse.jetty:jetty-server,org.eclipse.jetty:jetty-servlet,org.foo.bar:child1,org.mockito:mockito-all,org.mortbay.jetty:jetty,org.skyscreamer:jsonassert,org.sonarsource.orchestrator:sonar-orchestrator,org.sonarsource.scanner.api:sonar-scanner-api,org.sonarsource.sonar-runner:sonar-runner-api,org.sonarsource.sonarqube:sonar-ws,org.sonatype.plexus:plexus-sec-dispatcher,oro:oro]"
exomiser/Exomiser,"[com.fasterxml.jackson.datatype:jackson-datatype-jdk7,com.github.samtools:htsjdk,com.google.guava:guava,com.google.protobuf:protobuf-java,com.google.protobuf:protobuf-java-util,commons-cli:commons-cli,de.charite.compbio:jannovar-htsjdk,de.sonumina:javautil,ontologizer:ontologizer,org.apache.commons:commons-csv,org.apache.commons:commons-vfs2,org.jblas:jblas,org.jsoup:jsoup,org.junit-pioneer:junit-pioneer,org.monarchinitiative.svart:svart,org.phenopackets:phenopacket-schema,org.webjars:bootstrap,org.webjars:chosen,org.webjars:jquery]"
inspire-software/yes-cart,"[cglib:cglib,ch.qos.logback:logback-classic,com.cybersource:cybersource-sdk-java,com.googlecode.json-simple:json-simple,com.inspire-software.lib.dto.geda:geda.core,com.paypal.sdk:paypal-core,com.thoughtworks.xstream:xstream,commons-beanutils:commons-beanutils,commons-codec:commons-codec,commons-collections:commons-collections,commons-io:commons-io,commons-lang:commons-lang,commons-logging:commons-logging,dumbster:dumbster,javax.activation:activation,javax.mail:mail,javax.servlet:javax.servlet-api,joda-time:joda-time,jstl:jstl,junit:junit,mysql:mysql-connector-java,net.authorize:anet-java-sdk,net.sf.ehcache:ehcache,net.sf.opencsv:opencsv,net.sf.saxon:Saxon-HE,org.apache.commons:commons-collections4,org.apache.commons:commons-compress,org.apache.commons:commons-lang3,org.apache.derby:derbyclient,org.apache.santuario:xmlsec,org.apache.wss4j:wss4j-policy,org.apache.wss4j:wss4j-ws-security-dom,org.apache.wss4j:wss4j-ws-security-policy-stax,org.apache.wss4j:wss4j-ws-security-stax,org.aspectj:aspectjweaver,org.bouncycastle:bcprov-jdk15on,org.codehaus.gmaven.runtime:gmaven-runtime-2.0,org.codehaus.groovy:groovy,org.codehaus.groovy:groovy-templates,org.codehaus.groovy:groovy-xml,org.dbunit:dbunit,org.hamcrest:hamcrest-core,org.hamcrest:hamcrest-library,org.hsqldb:hsqldb,org.javassist:javassist,org.jgroups:jgroups,org.jmock:jmock-junit4,org.jsoup:jsoup,org.ow2.asm:asm,org.ow2.asm:asm-commons,org.ow2.asm:asm-util,org.quartz-scheduler:quartz,org.slf4j:jcl-over-slf4j,org.slf4j:jul-to-slf4j,org.slf4j:slf4j-api,org.springframework.security:spring-security-config,org.springframework.security:spring-security-core,org.springframework.security:spring-security-web,org.springframework:spring-beans,org.springframework:spring-context,org.springframework:spring-context-support,org.springframework:spring-core,org.thymeleaf:thymeleaf-spring5,tomcat:naming-factory,tomcat:tomcat-naming,xalan:xalan,xerces:xercesImpl,xml-apis:xml-apis]"
opentracing-contrib/java-spring-web,"[com.github.tomakehurst:wiremock-jre8,io.opentracing.contrib:opentracing-spring-tracer-configuration-starter,io.opentracing.contrib:opentracing-spring-web,io.opentracing.contrib:opentracing-tracerresolver,io.opentracing.contrib:opentracing-web-servlet-filter,io.opentracing:opentracing-api,io.opentracing:opentracing-mock,io.opentracing:opentracing-noop,io.projectreactor.netty:reactor-netty,junit:junit,org.awaitility:awaitility,org.mockito:mockito-core,org.springframework:spring-test]"
MarginallyClever/Robot-Overlord-App,"[ch.qos.logback:logback-classic,com.fasterxml.jackson.core:jackson-annotations,com.fasterxml.jackson.core:jackson-databind,com.jcraft:jsch,commons-io:commons-io,io.github.java-native:jssc,javax.vecmath:vecmath,net.java.jinput:jinput,org.apache.xmlgraphics:batik-all,org.assertj:assertj-swing-junit,org.jetbrains:annotations,org.jogamp.fat:jogamp-fat,org.json:json,org.ode4j:core,org.slf4j:slf4j-api]"
tjitze/RankPL,"[com.google.guava:guava,commons-cli:commons-cli,io.usethesource:capsule,junit:junit,org.antlr:antlr4,org.organicdesign:Paguro]"
cqyijifu/OpenFalcon-SuitAgent,"[com.alibaba:fastjson,com.github.kevinsawicki:http-request,com.google.guava:guava,com.oracle:ojdbc6,commons-io:commons-io,commons-lang:commons-lang,junit:junit,log4j:log4j,mysql:mysql-connector-java,org.apache.commons:commons-compress,org.json:json,org.jyaml:jyaml,org.projectlombok:lombok,org.quartz-scheduler:quartz,org.slf4j:slf4j-api,org.slf4j:slf4j-log4j12,org.snmp4j:snmp4j]"
apache/camel-kafka-connector,"[com.amazon.redshift:redshift-jdbc42,com.fasterxml.jackson.core:jackson-annotations,com.fasterxml.jackson.core:jackson-core,com.fasterxml.jackson.core:jackson-databind,com.fasterxml.jackson.dataformat:jackson-dataformat-xml,com.fasterxml.jackson.datatype:jackson-datatype-joda,com.google.guava:guava,io.apicurio:apicurio-registry-utils-converter,io.github.classgraph:classgraph,io.netty:netty-handler,javax.annotation:javax.annotation-api,org.apache.activemq:artemis-jms-client-all,org.apache.camel.kafkaconnector:camel-kafka-connector,org.apache.camel.kafkaconnector:camel-kafka-connector-model,org.apache.camel.kafkaconnector:camel-netty-kafka-connector,org.apache.camel.kafkaconnector:camel-timer-source-kafka-connector,org.apache.camel.kamelets:camel-kamelets-catalog,org.apache.camel:camel-core-catalog,org.apache.camel:camel-tooling-model,org.apache.camel:camel-util-json,org.apache.commons:commons-dbcp2,org.apache.kafka:connect-api,org.apache.kafka:connect-runtime,org.apache.kafka:connect-transforms,org.apache.kafka:kafka-clients,org.apache.kafka:kafka_2.12,org.apache.maven.plugin-tools:maven-plugin-annotations,org.apache.maven.shared:maven-dependency-tree,org.apache.maven:maven-artifact,org.apache.maven:maven-compat,org.apache.maven:maven-core,org.apache.maven:maven-plugin-api,org.apache.qpid:qpid-jms-client,org.codehaus.plexus:plexus-resources,org.jctools:jctools-core,org.ow2.asm:asm-tree,org.postgresql:postgresql,org.scala-lang:scala-library,org.testcontainers:couchbase,org.testcontainers:elasticsearch,org.testcontainers:junit-jupiter,org.testcontainers:kafka,org.testcontainers:localstack,org.testcontainers:mongodb,org.testcontainers:postgresql,org.testcontainers:rabbitmq,org.testcontainers:testcontainers,org.twdata.maven:mojo-executor]"
