,,,,,,,,,
,rockem/blink-java,https://github.com/rockem/blink-java,,,,,,,
,,,,,,,,,
,API/API,junit:junit,org.hamcrest:hamcrest-all,org.apache.httpcomponents: httpclient,org.mockito:mockito-all,commons-io:commons-io,com.google.code.gson:gson,org.codehaus.groovy:groovy-all,org.codehaus.groovy.modules.http-builder:http-builder
,junit:junit,x,Meaningful Independence,test dependency,Meaningful Independence,Meaningful Independence,test dependency,Meaningful Independence,test dependency
,org.hamcrest:hamcrest-all,Meaningful Independence,x,Meaningful Independence,Meaningful Independence,Meaningful Independence,Seperable Independencies (2),Seperable Independencies (1),Seperable Independencies (2)
,org.apache.httpcomponents: httpclient,test dependency,Meaningful Independence,x,Meaningful Independence,Seperable Independencies (1),Seperable Independencies (2),Seperable Independencies (1),compile dependency
,org.mockito:mockito-all,Meaningful Independence,Meaningful Independence,Meaningful Independence,x,Seperable Independencies (1),Meaningful Independence,Seperable Independencies (1),Seperable Independencies (2)
,commons-io:commons-io,Meaningful Independence,Meaningful Independence,Seperable Independencies (1),Seperable Independencies (1),x,Seperable Independencies (2),Seperable Independencies (1),test dependency
,com.google.code.gson:gson,test dependency,Seperable Independencies (2),Seperable Independencies (2),Meaningful Independence,Seperable Independencies (2),x,Seperable Independencies (1),Seperable Independencies (2)
,org.codehaus.groovy:groovy-all,Meaningful Independence,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),x,Seperable Independencies (2)
,org.codehaus.groovy.modules.http-builder:http-builder,test dependency,Seperable Independencies (2),compile dependency,Seperable Independencies (2),test dependency,Seperable Independencies (2),Seperable Independencies (2),x