API,junit;junit,com.google.inject;guice,com.google.inject.extensions;guice-throwingproviders,com.google.guava;guava,com.lexicalscope.jewelcli;jewelcli,it.unimi.dsi;fastutil,com.lmax;disruptor,commons-io;commons-io,org.slf4j;slf4j-simple,com.clearspring.analytics;stream
junit;junit, X,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Test,Test,Test,Test,Seperable Independencies (1),Test
com.google.inject;guice,Seperable Independencies (1),X,Meaningful Independence,Compile,Copmile,Meaningful Independence,Meaningful Independence,Seperable Independencies (2),Meaningful Independence,Meaningful Independence
com.google.inject.extensions;guice-throwingproviders,Seperable Independencies (1),Meaningful Independence,X,Seperable Independencies (1),Seperable Independencies (1),Meaningful Independence,Meaningful Independence,Seperable Independencies (2),Meaningful Independence,Meaningful Independence
com.google.guava;guava,Seperable Independencies (1),Compile,Seperable Independencies (1),X,compile,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (2),Seperable Independencies (1),Test
com.lexicalscope.jewelcli;jewelcli,Test,Compile,Seperable Independencies (1),Compile,X,Seperable Independencies (1),,Seperable Independencies (2),Seperable Independencies (1),Seperable Independencies (1)
it.unimi.dsi;fastutil,Test,Meaningful Independence,Meaningful Independence,Seperable Independencies (1),Seperable Independencies (1),X,Meaningful Independence,Seperable Independencies (2),Meaningful Independence,Meaningful Independence
com.lmax;disruptor,Test,Meaningful Independence,Meaningful Independence,Seperable Independencies (1),Seperable Independencies (1),Meaningful Independence,X,Seperable Independencies (2),Seperable Independencies (1),Meaningful Independence
commons-io;commons-io,Test,Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),X,Seperable Independencies (2),Seperable Independencies (2)
org.slf4j;slf4j-simple,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Meaningful Independence,Seperable Independencies (1),Seperable Independencies (2),X,Meaningful Independence
com.clearspring.analytics;stream,Test,Meaningful Independence,Meaningful Independence,Test,Seperable Independencies (1),Meaningful Independence,Meaningful Independence,Seperable Independencies (2),Meaningful Independence,X