API,org.springframework.boot:spring-boot-starter-web,org.springframework.boot:spring-boot-starter-undertow,org.springframework.boot:spring-boot-starter-data-mongodb,org.springframework.boot:spring-boot-starter-hateoas,com.fasterxml.jackson.datatype:jackson-datatype-jsr310,org.apache.camel:camel-spring-boot,org.apache.commons:commons-lang3,commons-io:commons-io,org.apache.poi:poi,org.jsoup:jsoup,io.springfox:springfox-swagger2,io.springfox:springfox-swagger-ui,org.apache.opennlp:opennlp-tools,org.springframework.boot:spring-boot-starter-test
org.springframework.boot:spring-boot-starter-web,x,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (2),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Meaningful independence,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (2)
org.springframework.boot:spring-boot-starter-undertow,Seperable Independencies (1),X,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (2),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Meaningful independence,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (2)
org.springframework.boot:spring-boot-starter-data-mongodb,Seperable Independencies (1),Seperable Independencies (1),X,Seperable Independencies (1),Meaningful independence,Seperable Independencies (2),Meaningful independence,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Meaningful independence,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (2)
org.springframework.boot:spring-boot-starter-hateoas,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),X,Seperable Independencies (1),Seperable Independencies (2),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (2)
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,Seperable Independencies (1),Seperable Independencies (1),Meaningful independence,Seperable Independencies (1),X,Seperable Independencies (2),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (2)
org.apache.camel:camel-spring-boot,Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),X,Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2)
org.apache.commons:commons-lang3,Seperable Independencies (1),Seperable Independencies (1),Meaningful independence,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (2),X,Meaningful independence,Meaningful independence,Meaningful independence,Seperable Independencies (1),Seperable Independencies (1),Meaningful independence,Seperable Independencies (2)
commons-io:commons-io,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (2),Meaningful independence,X,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (2)
org.apache.poi:poi,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (2),Meaningful independence,Seperable Independencies (1),X,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (2)
org.jsoup:jsoup,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (2),Meaningful independence,Seperable Independencies (1),Seperable Independencies (1),x,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (2)
io.springfox:springfox-swagger2,Meaningful independence,Meaningful independence,Meaningful independence,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (2),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),x,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (2)
io.springfox:springfox-swagger-ui,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (2),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),x,Seperable Independencies (1),Seperable Independencies (2)
org.apache.opennlp:opennlp-tools,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (2),Meaningful independence,Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),Seperable Independencies (1),x,Seperable Independencies (2)
org.springframework.boot:spring-boot-starter-test,Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),Seperable Independencies (2),x